,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action
0,0.001777083336,14.90705063,3.799099731,8.646619263,17.64702077,0
1,0.01174908334,13.36061646,2.866988068,6.73269928,15.23334934,0
2,0.02172208334,11.54025192,2.76729538,5.293891296,12.99463825,0
3,0.03169508334,9.800569611,2.071242828,3.876339111,10.7409132,0
4,0.04166708334,8.097561035,1.21801712,2.304757233,8.506818813,0
5,0.05164008334,6.022725677,0.9262738037,1.210532684,6.212615965,0
6,0.06161208334,3.749253387,1.151555328,0.6792874146,3.980503992,0
7,0.07158508334,1.592687988,1.600920868,0.3659889221,2.287695466,0
8,0.08155808334,-0.2213896179,2.125430145,0.1812730408,2.144604062,0
9,0.09153008334,-1.472487946,2.667303314,0.2171983337,3.054488965,0
10,0.1015030833,-2.280807037,2.96967453,0.2938389587,3.755980417,0
11,0.1114750833,-2.854563904,3.057092743,0.2817141724,4.192101382,0
12,0.1214480833,-3.186573486,3.072510681,0.3959266663,4.444246887,0
13,0.1314210833,-3.407364349,3.220552826,0.5951623535,4.72613061,0
14,0.1413930833,-3.590134277,3.390748901,0.9011260986,5.019787893,0
15,0.1513660833,-3.59687027,3.572471008,1.195414124,5.20855448,0
16,0.1613380833,-3.485352173,3.673660583,1.582958221,5.305583717,0
17,0.1713110833,-3.168161774,3.614234161,1.725611572,5.106630288,0
18,0.1812840833,-2.728825378,3.444337463,1.714983673,4.71710902,0
19,0.1912560833,-2.232008514,3.298241272,1.779798889,4.362102885,0
20,0.2012290833,-1.674118652,3.353626099,2.042203217,4.268498009,0
21,0.2112010833,-1.010398865,3.454665985,2.41852066,4.336457669,0
22,0.2211740833,-0.2329156494,3.363804932,2.858605499,4.420526973,0
23,0.2311470833,0.7735913086,3.182382202,3.350632324,4.685374795,0
24,0.2411190833,1.803749084,3.220852203,3.851041718,5.334596703,0
25,0.2510920833,3.059487762,3.421584778,4.403991852,6.361041738,0
26,0.2610640833,4.647086334,3.90687561,5.027295685,7.882435559,0
27,0.2710370833,6.666686554,5.044060822,5.994135132,10.28673491,0
28,0.2810100833,9.127718811,6.915020142,7.517068176,13.69814105,0
29,0.2909820833,12.08616669,9.17816391,9.146729279,17.71938979,0
30,0.3009550833,15.31285675,11.610905,11.05316483,22.16910349,0
31,0.3109270833,19.14084641,13.20508987,13.48979782,26.88347159,0
32,0.3209000833,24.11724792,13.35358109,16.1840451,31.96690619,0
33,0.3308730833,29.35051529,12.76695099,18.3844693,36.91119744,0
34,0.3408450833,33.21038864,12.162957,18.26082642,39.80358298,0
35,0.3508180833,35.43102081,11.00032471,16.50422928,40.60485148,0
36,0.3607910833,35.76228195,9.44490921,13.78453491,39.47354206,0
37,0.3707630833,34.08741486,7.668553162,10.5439238,36.49565574,0
38,0.3807360833,30.59412918,5.283562775,7.615563354,31.96738308,0
39,0.3907080833,25.5030661,2.788551178,4.807552643,26.10162755,0
40,0.4006810833,20.18477554,0.6593788147,2.472558289,20.34633846,0
41,0.4106540833,15.98076782,-1.09048233,0.9975256348,16.048961,0
42,0.4206260833,12.84493881,-2.263892212,0.2938389587,13.0462256,0
43,0.4305990833,10.14410522,-2.935395813,0.08502319336,10.5606178,0
44,0.4405710833,8.173153839,-3.559747467,0.3637435913,8.922138483,0
45,0.4505440833,6.590045929,-4.253854065,0.5706134033,7.864450356,0
46,0.4605170833,5.010530548,-4.821174316,0.5068460083,6.971802567,0
47,0.4704890833,3.73727829,-5.166057129,0.3929328918,6.388254185,0
48,0.4804620833,2.903961182,-5.59296936,0.2119592285,6.305491537,0
49,0.4904340833,2.28874054,-6.233337708,-0.1701960754,6.642424176,0
50,0.5004070833,1.561852112,-6.866670685,-0.550405426,7.063532717,0
51,0.5103800833,0.5947132874,-7.202871552,-1.139430542,7.316648443,0
52,0.5203520833,-0.5346881104,-7.157665558,-1.848056946,7.411705748,0
53,0.5303250833,-1.434616699,-6.782845001,-2.283052368,7.299139641,0
54,0.5402970833,-1.885329437,-6.406826935,-2.618953857,7.173619572,0
55,0.5502700833,-1.761985931,-6.125861206,-3.098556519,7.087441177,0
56,0.5602430833,-1.59837616,-6.051615601,-3.271746368,7.062661115,0
57,0.5702150833,-1.364712067,-6.159990234,-3.100652161,7.030075571,0
58,0.5801880833,-0.9154962158,-5.990243225,-3.12759613,6.819311165,0
59,0.5901600833,-0.3685336304,-5.470074921,-3.340902557,6.420215462,0
60,0.6001330833,0.05508544922,-4.904401245,-3.879781952,6.253710417,0
