,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action
0,0.049260938,0.4716851711,-10.52692413,2.48733902,10.82707135,0
1,0.061125417,0.3400799036,-9.49980545,1.647159338,9.647543305,0
2,0.072989897,-0.1004985496,-9.202795982,1.592124343,9.340043564,0
3,0.084854376,-1.003190875,-9.722337723,1.647159338,9.911779689,0
4,0.096718855,-1.936690807,-10.4168539,1.635195136,10.7207966,0
5,0.108583334,-2.236092806,-10.78774166,1.869691849,11.17457958,0
6,0.120447813,-2.370090723,-10.51017475,2.202593327,10.99693233,0
7,0.132312292,-2.145165443,-9.921240807,2.592922449,10.47644982,0
8,0.144176824,-1.730908036,-9.26530838,2.930310488,9.870597832,0
9,0.156041303,-1.448554993,-8.649754524,2.848954439,9.221339723,0
10,0.167905782,-1.182652593,-8.08953476,2.97577405,8.700256949,0
11,0.179770261,-1.070189953,-7.802396297,3.318246841,8.545961422,0
12,0.19163474,-1.051047325,-7.692326546,3.598206997,8.557083718,0
13,0.203499219,-1.048654556,-7.816753387,3.825824261,8.765742477,0
14,0.215363699,-1.089332461,-8.113463402,4.271188259,9.233524935,0
15,0.22722823,-1.039083242,-8.152048111,4.213760853,9.235332312,0
16,0.239092709,-1.223330617,-8.278866768,4.299902439,9.408790238,0
17,0.250957188,-1.309472203,-8.319544792,4.172783375,9.399024635,0
18,0.262821667,-1.292722464,-8.733802795,3.866502285,9.638479266,0
19,0.274686147,-1.390828133,-9.075976372,3.267997503,9.746156046,0
20,0.286550626,-1.415055513,-9.190832138,2.748456001,9.69679266,0
21,0.298415105,-1.141974568,-9.166903496,2.676671267,9.617733344,0
22,0.310279584,-0.8644071817,-9.2362957,2.762812853,9.679333288,0
23,0.322144063,-0.8090731502,-9.380164146,2.650350094,9.78092196,0
24,0.334008594,-0.8428717852,-9.447162628,2.48733902,9.805415339,0
25,0.345873074,-0.9122636318,-9.447162628,2.484946251,9.811017507,0
26,0.357737553,-0.9170492887,-9.164510727,2.274377823,9.486940009,0
27,0.369602032,-0.9601200819,-8.702695847,2.037488461,8.989444076,0
28,0.381466511,-1.084546804,-8.137690544,2.032702923,8.457548719,0
29,0.39333099,-1.441376567,-7.790432453,2.427518606,8.286208469,0
30,0.405195469,-1.907976985,-7.697112083,2.832204819,8.420646931,0
31,0.417060001,-2.097309113,-7.850253105,3.16032052,8.71853228,0
32,0.42892448,-2.252842426,-8.427222252,4.264009953,9.709539369,0
33,0.440788959,-2.209771633,-9.241081238,5.113760948,10.79033012,0
34,0.452653438,-2.130808592,-10.00977516,4.848157883,11.32433569,0
35,0.464517917,-1.764407635,-10.39531898,4.402793884,11.42630234,0
36,0.476382397,-1.534696579,-10.30409241,4.254438877,11.25299356,0
37,0.488246876,-1.213759303,-9.9140625,4.402793884,10.91542216,0
38,0.500111355,-0.6272186637,-9.566803932,4.436293125,10.56398776,0
39,0.511975834,-0.04546362907,-9.349057198,4.488935471,10.37099219,0
40,0.523840313,0.2608176768,-9.221938133,4.184747696,10.13036436,0
41,0.535704792,0.3017947674,-9.267701149,3.995714664,10.09688568,0
42,0.547569324,0.09810572863,-9.358628273,3.981357813,10.17077961,0
43,0.559433803,-0.1890329868,-9.425627708,4.285545349,10.35587225,0
44,0.571298282,-0.399900496,-9.523733139,4.788337231,10.6672202,0
45,0.583162761,-0.632004261,-9.736694336,5.164010525,11.0394588,0
46,0.59502724,-0.766002357,-9.978668213,5.370092392,11.35774939,0
47,0.606891719,-0.7707880139,-9.990633011,4.953442097,11.17781064,0
48,0.618756199,-0.6415755749,-9.619445801,4.374079704,10.58668645,0
49,0.630620678,-0.4716851711,-9.162117958,4.963013172,10.43064677,0
50,0.642485209,-0.4860421121,-8.738588333,4.96779871,10.06370643,0
51,0.654349688,-0.5865406394,-8.276473999,5.025226593,9.700358452,0
52,0.666214167,-0.6966105103,-8.034500122,5.058726311,9.519935415,0
53,0.678078647,-0.7755736113,-7.972286701,5.216652393,9.558887585,0
54,0.689943126,-0.9170492887,-8.120641708,5.286044121,9.732834305,0
55,0.701807605,-1.053440213,-8.329116821,5.207081318,9.879150731,0
56,0.713672084,-1.082154036,-8.35304451,4.919942379,9.754498601,0
57,0.725536563,-1.089332461,-8.266902924,5.049154758,9.747937881,0
58,0.737401042,-1.01036942,-8.048856735,5.051547527,9.556310665,0
59,0.749265522,-0.8524430394,-7.802396297,5.10897541,9.365130905,0
60,0.761130001,-0.8428717852,-7.567600727,5.020441055,9.120517639,0
