,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action
0,0.001067250007,5.739514618,3.633693695,5.391937408,8.672874203,0
1,0.01111025,6.330036621,3.602558441,5.334007874,9.027703525,0
2,0.02115225,6.646777954,3.639681244,5.093158722,9.130564194,0
3,0.03119425,6.686744843,3.791914673,5.176834717,9.267728479,0
4,0.04123625001,6.745123444,4.043242035,5.070705414,9.357165694,0
5,0.05127825,6.763535156,4.215234375,5.056335297,9.438227338,0
6,0.06132125,6.645879822,4.326752472,5.026397552,9.38899238,0
7,0.07136325,6.569538574,4.604574738,4.934039612,9.418369948,0
8,0.08140525001,6.523135071,5.023703156,4.752467194,9.506567676,0
9,0.09144725,6.455475769,5.414241028,4.675078125,9.635534691,0
10,0.10148925,6.433920593,5.594765625,4.746180267,9.75822544,0
11,0.11153225,6.397546234,5.570516052,4.818330231,9.755795873,0
12,0.12157425,6.308182068,5.482499084,4.98568222,9.731802732,0
13,0.13161625,6.305188293,5.601052551,5.312901764,9.967653397,0
14,0.14165825,6.136040039,5.763614502,5.554948425,10.08601465,0
15,0.15170125,5.713468781,5.534141693,5.509592743,9.676056117,0
16,0.16174325,5.51348465,5.649701385,5.538183289,9.643086273,0
17,0.17178525,5.676795044,6.614744568,5.593268738,10.35690605,0
18,0.18182725,5.208868103,6.575526123,5.153932343,9.845449167,0
19,0.19186925,4.683610382,6.088139648,4.751419373,9.032033915,0
20,0.20191225,4.599185944,5.960604858,4.830904083,8.945331513,0
21,0.21195425,4.898413696,6.248156891,5.358856201,9.578687857,0
22,0.22199625,5.537434845,6.704258423,6.109994202,10.62743124,0
23,0.23203825,6.209537201,7.04045929,6.812034302,11.59871676,0
24,0.24208125,6.582262115,7.358248444,7.175628204,12.20490208,0
25,0.25212325,6.51041153,7.724985809,7.323221283,12.47759728,0
26,0.26216525,6.434369659,7.952961731,8.518785095,13.31241574,0
27,0.27220725,7.098538513,8.392597504,9.215436401,14.34396075,0
28,0.28224925,6.330635376,8.859177246,7.509284363,13.2269164,0
29,0.29229225,6.555767212,9.619745636,7.961943054,14.10355016,0
30,0.30233425,7.182663574,10.33989807,7.925269318,14.87662737,0
31,0.31237625,7.954308929,11.2711116,7.919281769,15.90672848,0
32,0.32241825,8.624465332,12.35590576,8.140521698,17.1265263,0
33,0.33246025,9.435478821,13.39639206,8.43870163,18.43104083,0
34,0.34250325,11.2432695,14.90525436,8.360564117,20.45670426,0
35,0.35254525,13.2020961,16.51755157,8.246501312,22.69646746,0
36,0.36258725,14.17612061,17.47421219,9.067244568,24.25954268,0
37,0.37262925,15.37093597,18.05365723,10.34648438,25.86986569,0
38,0.38267225,16.46560959,18.24540848,11.82840271,27.27493979,0
39,0.39271425,16.58341461,17.99393143,12.36653366,27.41755575,0
40,0.40275625,16.35483994,17.41134293,10.99673218,26.29760009,0
41,0.41279825,15.58514053,16.01130432,8.813522186,24.01950551,0
42,0.42284025,13.69666763,13.92554169,7.232210541,20.82844893,0
